Year,FLIGHT MOVEMENT DEP,FLIGHT MOVEMENT ARR,FLIGHT MOVEMENT TOTAL,PAX MOVEMENT OUT,PAX MOVEMENT IN,PAX MOVEMENT TOTAL,TRANSIT
2011,11394,11398,22792,1292515,1407512,2700027,
2012,11659,11661,23320,1546350,1378825,2925175,342
2013,11807,11812,23619,1647235,1493067,3140302,223
2014,13605,13603,27208,1889448,1622199,3511647,284
2015,13281,13283,26564,1674664,1542498,3217162,329
2016,13560,13558,27118,1823598,1687144,3510742,122
2017,16680,16682,33362,2083150,1804695,3887845,433
2018,16951,16946,33897,2201775,2180458,4382233,951
